Process,Metric,Timestamp,TimestampRaw,Value
com.pixel.art.coloring.by.number,Avg Frame Time[12970367439711352064],60,1646215634471265,0.50386399877563
com.pixel.art.coloring.by.number,Avg Frame Time[12970367439711352064],250850,1646215634722055,0.0201493848013359
com.pixel.art.coloring.by.number,Avg Frame Time[12970367439711352064],1315850,1646215635787055,0.212813790064721
com.pixel.art.coloring.by.number,Avg Frame Time[12970367439711352064],2070845,1646215636542050,0.212813790064721
com.pixel.art.coloring.by.number,Avg Frame Time[12970367439711352064],3358651,1646215637829856,1.03309602459891
com.pixel.art.coloring.by.number,Avg Frame Time[12970367439711352064],3660142,1646215638131347,0.016652562113922
com.pixel.art.coloring.by.number,Avg Frame Time[12970367439711352064],3911084,1646215638382289,0.0167128663837113
com.pixel.art.coloring.by.number,Avg Frame Time[12970367439711352064],4162158,1646215638633363,0.0166356875554086
com.pixel.art.coloring.by.number,Avg Frame Time[12970367439711352064],4413471,1646215638884676,0.0166749995865345
com.pixel.art.coloring.by.number,Avg Frame Time[12970367439711352064],4714634,1646215639185839,0.0166258753122774
com.pixel.art.coloring.by.number,Avg Frame Time[12970367439711352064],4865042,1646215639336247,0.0166258753122774
com.pixel.art.coloring.by.number,Avg Frame Time[12970367439711352064],4965375,1646215639436580,0.017747132873723
com.pixel.art.coloring.by.number,Avg Frame Time[12970367439711352064],5116001,1646215639587206,0.017747132873723
com.pixel.art.coloring.by.number,Avg Frame Time[12970367439711352064],5216490,1646215639687695,0.0168829328737515
com.pixel.art.coloring.by.number,Avg Frame Time[12970367439711352064],5467353,1646215639938558,0.0164592496319109
com.pixel.art.coloring.by.number,Avg Frame Time[12970367439711352064],5718271,1646215640189476,0.0166853998486791
com.pixel.art.coloring.by.number,Avg Frame Time[12970367439711352064],6019480,1646215640490685,0.0167676254548039
com.pixel.art.coloring.by.number,Avg Frame Time[12970367439711352064],6270386,1646215640741591,0.0164980624481218
com.pixel.art.coloring.by.number,Avg Frame Time[12970367439711352064],6521411,1646215640992616,0.0192813847668352
com.pixel.art.coloring.by.number,Avg Frame Time[12970367439711352064],6772708,1646215641243913,0.0166798749187541
